question,answer,text
Henrietta Maria was the French wife of which British monarch?,King Charles I,Henrietta Maria was the French wife of which British monarch? King Charles I
With which athletics field event is Jan Zelezny associated?,Javelin,With which athletics field event is Jan Zelezny associated? Javelin
What is the name of the effect that deflects winds and currents as a result of the Earth's rotation?,The Coriolus Effect,What is the name of the effect that deflects winds and currents as a result of the Earth's rotation? The Coriolus Effect
"""In which Shakespeare comedy does 'Theseus' speak the opening line: """"Now fair Hippolyta, our nuptial hour draws apace""""?""",'A MIDSUMMER NIGHT'S DREAM',"""In which Shakespeare comedy does 'Theseus' speak the opening line: """"Now fair Hippolyta, our nuptial hour draws apace""""?"" 'A MIDSUMMER NIGHT'S DREAM'"
William Howard Russell became famous as what during the Crimean War?,War Correspondent,William Howard Russell became famous as what during the Crimean War? War Correspondent
The global collection of what is stored in a vault in Svalbard on the Norwegian island of Spitsbergen?,Seeds,The global collection of what is stored in a vault in Svalbard on the Norwegian island of Spitsbergen? Seeds
Which Scottish loch is the largest in area?,Loch Lomond,Which Scottish loch is the largest in area? Loch Lomond
"What is the surname of Aleksandr, the chief meerkat in the comparethemarket.com ads?",Orlov,"What is the surname of Aleksandr, the chief meerkat in the comparethemarket.com ads? Orlov"
"What Swiss psychologist conceived 'extraversion' and 'introversion', and personality tendencies of intuition, sensing, feeling and thinking?",Carl Jung,"What Swiss psychologist conceived 'extraversion' and 'introversion', and personality tendencies of intuition, sensing, feeling and thinking? Carl Jung"
"""In the USA between 1852 and 1883, who were Reelfoot Williams, Tom Bell, Rattlesnake Dick and Charles Bolles (a.k.a. """"Black Bart"""")?""",Stagecoach robbers,"""In the USA between 1852 and 1883, who were Reelfoot Williams, Tom Bell, Rattlesnake Dick and Charles Bolles (a.k.a. """"Black Bart"""")?"" Stagecoach robbers"
"In 2003, which planet passed 55.76 million km from earth, the closest since the Stone Age?",Mars,"In 2003, which planet passed 55.76 million km from earth, the closest since the Stone Age? Mars"
Six of the world's top ten highest waterfalls are in which country?,NORWAY,Six of the world's top ten highest waterfalls are in which country? NORWAY
What was the name for a form of stencil duplicator used for making numerous copies of a document?,Mimeograph,What was the name for a form of stencil duplicator used for making numerous copies of a document? Mimeograph
What links the ship Dr Crippen was caught on in 1910 and a coastal resort town in Scotland?,Montrose,What links the ship Dr Crippen was caught on in 1910 and a coastal resort town in Scotland? Montrose
Which pair of time travellers declared Joan of Arc was the wife of Noah?,Bill and Ted,Which pair of time travellers declared Joan of Arc was the wife of Noah? Bill and Ted
In which sea is the Great Barrier Reef?,Coral Sea,In which sea is the Great Barrier Reef? Coral Sea
"Which large-flowered plant is named after Paeon/Paean, Greek god of medicine and healing?",Peony,"Which large-flowered plant is named after Paeon/Paean, Greek god of medicine and healing? Peony"
In which American state is Martha's Vineyard,Massachusetts,In which American state is Martha's Vineyard Massachusetts
the Naked Civil Servant starred which character?.,Quentin Crisp,the Naked Civil Servant starred which character?. Quentin Crisp
Rugby league. Which European Super League team are known as the ‘Giants’?,Huddersfield,Rugby league. Which European Super League team are known as the ‘Giants’? Huddersfield
Who was the beautiful sister of the twins Castor and Pollux and mother to Hermione?,Helen of Troy,Who was the beautiful sister of the twins Castor and Pollux and mother to Hermione? Helen of Troy
"What disease claimed the life of notorious American gangster, Al Capone?",SYPHILIS,"What disease claimed the life of notorious American gangster, Al Capone? SYPHILIS"
"In the sitcom Terry and June, what was the title characters surname?",Medford,"In the sitcom Terry and June, what was the title characters surname? Medford"
"Also known as mother's ruin, which alcoholic drink is distilled from juniper berries?",Gin,"Also known as mother's ruin, which alcoholic drink is distilled from juniper berries? Gin"
"Which BAFTA award winning British drama series follows the work of a group of MI5 intelligence officers based at the service's Thames House headquarters, in a highly secure suite of offices known as 'The Grid'?",'SPOOKS',"Which BAFTA award winning British drama series follows the work of a group of MI5 intelligence officers based at the service's Thames House headquarters, in a highly secure suite of offices known as 'The Grid'? 'SPOOKS'"
On what material was the Mona Lisa painted?,Poplar Wood,On what material was the Mona Lisa painted? Poplar Wood
Which astronomer proposed the theory of the expanding universe?,Edwin Hubble,Which astronomer proposed the theory of the expanding universe? Edwin Hubble
What nation is scheduled to host the 2022 World Cup?,Qatar,What nation is scheduled to host the 2022 World Cup? Qatar
Who was the Republican candidate who lost the Presidential election to Barack Obama in 2012?,Mitt Romney,Who was the Republican candidate who lost the Presidential election to Barack Obama in 2012? Mitt Romney
Which type of spaniel takes its name from a stately home in Nottinghamshire?,Clumber,Which type of spaniel takes its name from a stately home in Nottinghamshire? Clumber
"Which island in the Inner Hebrides became a burial place for several kings of Scotland, Ireland and Norway?",IONA,"Which island in the Inner Hebrides became a burial place for several kings of Scotland, Ireland and Norway? IONA"
"""During World War II, in north Africa, who was known as """"The Desert Fox""""?""",Erwin Rommel,"""During World War II, in north Africa, who was known as """"The Desert Fox""""?"" Erwin Rommel"
"Which scientist was the first, in 1888, to demonstrate the existence of electromagnetic waves?",(Heinrich Rudolf) HERTZ,"Which scientist was the first, in 1888, to demonstrate the existence of electromagnetic waves? (Heinrich Rudolf) HERTZ"
"""Who hosted the travel programmes """"Around the World in 80 Days"""" (1989), """"Pole to Pole"""" (1992), """"Full Circle"""" (1997), and """"Hemingway Adventure"""" (1999)?""",Michael Palin,"""Who hosted the travel programmes """"Around the World in 80 Days"""" (1989), """"Pole to Pole"""" (1992), """"Full Circle"""" (1997), and """"Hemingway Adventure"""" (1999)?"" Michael Palin"
"""What best-selling book was orginally a work of """"Twilight"""" fan fiction?""",Fifty Shades of Grey,"""What best-selling book was orginally a work of """"Twilight"""" fan fiction?"" Fifty Shades of Grey"
What is the worlds most common blood type?,Type O,What is the worlds most common blood type? Type O
Which constellation features on the flag of Papua New Guinea?,Southern Cross,Which constellation features on the flag of Papua New Guinea? Southern Cross
Which Canadian/American novelist won the Nobel Prize for Literature in 1976?,SAUL BELLOW,Which Canadian/American novelist won the Nobel Prize for Literature in 1976? SAUL BELLOW
‘Duck and dive’ represents which number in the game of Bingo?,25,‘Duck and dive’ represents which number in the game of Bingo? 25
In which Asian country is the resort of Pattaya?,Thailand,In which Asian country is the resort of Pattaya? Thailand
How many players are on the court in a korfball team?,Eight,How many players are on the court in a korfball team? Eight
Who succeeded Trajan as Roman Emperor in 117 AD,Hadrian,Who succeeded Trajan as Roman Emperor in 117 AD Hadrian
Which former ‘TOWIE’ star thought that Ebola virus was the name of a pop group?,AMY CHILDS,Which former ‘TOWIE’ star thought that Ebola virus was the name of a pop group? AMY CHILDS
Which country ended its combat role in Iraq on 1 June 2008 with the withdrawal of its 500 troops from Nasiriyah?,Australia,Which country ended its combat role in Iraq on 1 June 2008 with the withdrawal of its 500 troops from Nasiriyah? Australia
"Which country is bordered by Georgia to the north, Turkey to the west and Azerbaijan to the east?",ARMENIA,"Which country is bordered by Georgia to the north, Turkey to the west and Azerbaijan to the east? ARMENIA"
The Jigsaw Serial Killer is a fictional character in which series of horror films?,Saw,The Jigsaw Serial Killer is a fictional character in which series of horror films? Saw
Who was captain of the England men's cricket team during the 2015 One Day International World Cup?,Eoin) MORGAN,Who was captain of the England men's cricket team during the 2015 One Day International World Cup? Eoin) MORGAN
What number Star Trek movie was called The Wrath of Khan?,II,What number Star Trek movie was called The Wrath of Khan? II
Where is the volcano Olympus Mons?,On Mars,Where is the volcano Olympus Mons? On Mars
What is the name of the Government laboratory at the centre of the outbreak of foot and mouth disease in 2007?,PIRBRIGHT,What is the name of the Government laboratory at the centre of the outbreak of foot and mouth disease in 2007? PIRBRIGHT
"Medicine: What is a patient suffering from, based on the following description - Partial or complete blockage of a blood vessel by a blood clot?",THROMBOSIS,"Medicine: What is a patient suffering from, based on the following description - Partial or complete blockage of a blood vessel by a blood clot? THROMBOSIS"
